date,home,away,edge,odds,bet,profit,bankroll
2025-11-22,Bournemouth,West Ham,0.07210259192671253,1.62,76069.94968025354,-76069.94968025354,781825.3978612829
2025-11-24,Man United,Everton,0.17007820766671844,1.75,156365.0795722566,-156365.0795722566,625460.3182890264
2025-12-03,Arsenal,Brentford,0.25278708876474265,1.36,125092.06365780528,45033.14291680991,670493.4612058363
2025-12-03,Brighton,Aston Villa,0.12319912029675417,2.15,129354.70845826936,-129354.70845826936,541138.7527475669
2025-12-03,Burnley,Crystal Palace,0.05161714646107626,4.5,27601.511595111027,-27601.511595111027,513537.24115245586
2025-12-06,Bournemouth,Chelsea,0.10060176244468227,3.1,63655.35969801976,-63655.35969801976,449881.8814544361
2025-12-06,Leeds,Liverpool,0.10052467653805672,3.8,53187.591976094176,-53187.591976094176,396694.28947834193
2025-12-08,Wolves,Man United,0.058095965041946085,4.2,23283.88180379973,-23283.88180379973,373410.4076745422
2025-12-14,Crystal Palace,Man City,0.059907315852346515,3.9,23560.99113493777,-23560.99113493777,349849.4165396044
2025-12-20,Everton,Arsenal,0.10053421655213882,5.75,38752.73718824643,-38752.73718824643,311096.679351358
2025-12-21,Aston Villa,Man United,0.06525279004435591,2.1,23503.62122055023,25853.983342605257,336950.6626939632
2025-12-27,Arsenal,Brighton,0.1188860064857844,1.42,67390.13253879265,28303.855666292908,365254.5183602561
